| OTOMRO   |UNIVERSE| INPUTS                                                               =>    OUTPUTS                                                                            | NRG USED   | REACTION TYPE                | CHEMIST WALLET                             | initateReaction() TX HASH                                          | analyseReactions() TX HASH                                         |
|    37447*|bohr    |  Gj-10∙ +   T-17∙ +  Eb-22∙ +  Mt-34⁺ +  Kk-71ª           +       50 =>   Gj-10 + T-17 + Kk-71 + MtEb(Mt-34>Eb-22)                               +      20.93 |      29.07 | chemical                     | 0xf6e39aed488043217d58d875ec83c597da844500 | 0x23f852b82598d1dcb57eb9091695042e44763ba191bda4a954ddc98885c2be17 | 0x9006b85d3cd842a9642dbe0502f03f3faa8d552b0857cd21441ef05b97b39120 |
|    37448*|bohr    |   T-15⁺ +   T-16∙ +   P-21⁺ +  Cl-27∙ +   K-34∙           +       50 => ⬇ Ct-15 + T-16 + Eb-21 + Cl-27 + K-34                                    +      47.50 |       2.50 | decay                        | 0xf6e39aed488043217d58d875ec83c597da844500 | 0x904300ac3899c3161702371416db1edccd8c5fd6754067e855c2c21c65f65dc8 | 0x9006b85d3cd842a9642dbe0502f03f3faa8d552b0857cd21441ef05b97b39120 |
|    37449*|bohr    |   Sr-1∙ +  S-102ª                                         +     3000 =>   P-22 + W-81                                                            +    1726.48 |    1273.52 | decay, nuclear               | 0x3ba3245300d0a4f0deb84073572a97ff09659f83 | 0xc42c712ae422a1810ea7af24c8213aa4808e3e0d18b9e595dc0bdcbbcdf80e6a | 0x0838c377f17659fb74fb3b2fa53b54e4d8fa10382e55689201a6dfae8014dd11 |
|    37450*|bohr    |   T-15⁺ +   P-23∙ +  Cl-25⁺ +  Cl-26ª +  Gy-67ª           +       50 =>   T-15 + P-23 + Cl-25 + Cl-26 + Gy-67                                    +      47.50 |       2.50 | none                         | 0xf6e39aed488043217d58d875ec83c597da844500 | 0x7dee96093a3e02f9b3f3886ff5a4f14168069dec9229bd244a3004c169c6e1e2 | 0x9006b85d3cd842a9642dbe0502f03f3faa8d552b0857cd21441ef05b97b39120 |
|    37451*|bohr    |   As-5⁺ +   Dz-8∙ +  Vi-13∙ +  Yu-27⁺ +   K-34∙           +       50 => ⬇ Vi-13 + Cl-27 + K-34 + DzEi(Dz-8,Ei-5>)                                +      34.00 |      16.00 | metallic, decay              | 0xf6e39aed488043217d58d875ec83c597da844500 | 0xb21f0c1b135e995311407f4d5fc81f4404d5474c9f6961c7a6f93b7ebf70c93f | 0x9006b85d3cd842a9642dbe0502f03f3faa8d552b0857cd21441ef05b97b39120 |
|    37452*|bohr    |   Sr-1∙ +  Yu-27⁺                                         +     3000 => ⬇ Yu-28                                                                  +    2323.61 |     676.39 | decay, nuclear               | 0x72fe3c398c9a030b9b2be1fe1ff07701167571d4 | 0xb2ce498aeeb7ce7397dea8813aa0f6c8cbe80a281c68b904f7146c933e3e709d | 0x6cdb15809b04e5dcb38bd11c6b5224be0e81629352a10e4af1d4cd8897cf499e |
|    37453*|bohr    |   Sr-1∙ +   As-7∙ +  Ct-15∙ +  Nd-30ª +  Pb-48∙           +      700 =>   Ct-15 + SrAsNdPb(As-7,Sr-1>Nd-30,Pb-48)                                +     623.13 |      76.87 | chemical                     | 0x74f3cb26c4b5e3ce324c55b0e5f890129d63e28b | 0xb85f57778e22b1df8f44e2e92e3816011ef4d69b7da2836de540bbacf7cd3761 | 0x962d12e03083474133f3d5de6427bc0b90c1f4b5b9fd712d1143f1f9bba5b3d6 |
|    37455*|bohr    |   Dz-8∙ +  Vi-13∙ +  Ct-17⁻ +  Eb-20∙ +  Uq-47⁻           +      250 => ⬆ Dz-8 + Vi-13 + T-17 + Eb-20 + Uq-47                                    +     237.50 |      12.50 | decay                        | 0xf6e39aed488043217d58d875ec83c597da844500 | 0xa14110000c134ed4cba2ce0e0f94581459e5cb1aec4e64689e1ad74a76666dff | 0x224f3d891d7111ab7eb145feda9eb6f38b9d45e7b1fcec1819b1100bf6137098 |
|    37456 |bohr    |   Sr-1∙ +  Xj-18∙                                         +       30 =>   ?                                                                      +          ? |          ? | ?                            | 0x6948bfcd84295c681f3dd867565a4c22ec6eca22 |                                                                  ? | 0x86c5ed214e2aefc91a18bd6f8bec454b6803ea149b24cce3fe96130996e03a75 |
|    37457*|bohr    |   Sr-1∙ +  Xj-18∙                                         +       30 =>   Sr-1 + Xj-18                                                           +      28.50 |       1.50 | none                         | 0x6948bfcd84295c681f3dd867565a4c22ec6eca22 | 0x4419f1d04ab6ae1a3ce4ae501459875a329ed8de92cd0cfc1d033cdbb59a5685 | 0x8f81c37a6fccc2704e591bcfdc8f9633e22508acd731bef410e08f98af61e4e2 |
|    37458*|bohr    |   Sr-2∙ +  Kk-71ª                                         +     1500 =>   Yv-73                                                                  +     411.81 |    1088.19 | nuclear                      | 0x72fe3c398c9a030b9b2be1fe1ff07701167571d4 | 0xf0165ad8fb37332e22d650dff8ee18e951100fe0eeb342ac87f00ee331d6e68b | 0xef3c9b7506b77e85e63b18f871bd23049ec5af8fc3b3a16fc64b85e09e1a9e0e |
|    37459*|bohr    |   Sr-1∙ +  Yv-72ª                                         +     3000 =>   Cj-73                                                                  +    1904.22 |    1095.78 | nuclear                      | 0x3ba3245300d0a4f0deb84073572a97ff09659f83 | 0x232cc9c72ff9901f48a646a943f6b1172f53c0dcabe255ff3adcaaa0e602a4ce | 0x86d9d2e532dc8ff172fb814d715b95b0e5562fdf3695a26573ab5c3e0762c4c9 |
